uuid,date,time,sym,n_close,amount_delta,n_midprice,n_bid1,n_bsize1,n_bid2,n_bsize2,n_bid3,n_bsize3,n_bid4,n_bsize4,n_bid5,n_bsize5,n_ask1,n_asize1,n_ask2,n_asize2,n_ask3,n_asize3,n_ask4,n_asize4,n_ask5,n_asize5,label_5,label_10,label_20,label_40,label_60
0,12,09:40:03,6,0.0051252847380409,114736.0,0.0054100227790434,0.0051252847380409,3.136113499050633e-07,0.0045558086560364,1.2957100509235507e-06,0.0039863325740319,2.80599628862425e-07,0.0034168564920273,2.475879078197868e-07,0.0028473804100228,1.947691541515656e-06,0.0056947608200457,3.953153594855929e-06,0.0062642369020502,1.0019057336440703e-05,0.0068337129840547,2.3438321940273147e-06,0.0074031890660593,4.7454348998792464e-06,0.0079726651480638,1.5989722262817468e-05,0,1,1,1,2
1,12,09:40:06,6,0.0045558086560364,326461.0,0.0048405466970387,0.0045558086560364,6.35475630070786e-07,0.0039863325740319,1.3369747022268483e-06,0.0034168564920273,2.475879078197868e-07,0.0028473804100228,1.947691541515656e-06,0.0022779043280183,1.147157306231679e-06,0.0051252847380409,8.252930260659559e-09,0.0056947608200457,7.246072768859092e-06,0.0062642369020502,9.986045615398066e-06,0.0068337129840547,2.3438321940273147e-06,0.0074031890660593,4.7454348998792464e-06,2,2,1,2,2
2,12,09:40:09,6,0.0051252847380409,518927.0,0.0048405466970387,0.0045558086560364,4.86922885378914e-07,0.0039863325740319,1.3369747022268483e-06,0.0034168564920273,2.475879078197868e-07,0.0028473804100228,1.9972091230796133e-06,0.0022779043280183,1.147157306231679e-06,0.0051252847380409,4.86922885378914e-07,0.0056947608200457,7.386372583290306e-06,0.0062642369020502,9.986045615398066e-06,0.0068337129840547,2.3438321940273147e-06,0.0074031890660593,4.7454348998792464e-06,2,2,1,2,2
3,12,09:40:12,6,0.0051252847380409,308828.0,0.0048405466970387,0.0045558086560364,9.90351631279147e-08,0.0039863325740319,1.3369747022268483e-06,0.0034168564920273,2.475879078197868e-07,0.0028473804100228,1.9972091230796133e-06,0.0022779043280183,1.147157306231679e-06,0.0051252847380409,7.757754445019985e-07,0.0056947608200457,7.468901885896901e-06,0.0062642369020502,9.986045615398066e-06,0.0068337129840547,2.599673032107761e-06,0.0074031890660593,4.7454348998792464e-06,2,2,1,1,2
4,12,09:40:15,6,0.0051252847380409,628523.0,0.0045558086560364,0.0039863325740319,1.3369747022268483e-06,0.0034168564920273,3.713818617296802e-07,0.0028473804100228,1.9972091230796133e-06,0.0022779043280183,1.147157306231679e-06,0.0017084282460138,1.3947452140514654e-06,0.0051252847380409,2.228291170378081e-07,0.0056947608200457,5.80180997324367e-06,0.0062642369020502,9.986045615398066e-06,0.0068337129840547,2.599673032107761e-06,0.0074031890660593,4.7454348998792464e-06,2,2,1,1,2
5,12,09:40:18,6,0.0051252847380409,44115.0,0.0048405466970387,0.0045558086560364,2.1210030769895067e-06,0.0039863325740319,2.096244286207528e-06,0.0034168564920273,3.713818617296802e-07,0.0028473804100228,1.9972091230796133e-06,0.0022779043280183,1.147157306231679e-06,0.0051252847380409,2.2035323795961024e-06,0.0056947608200457,5.843074624546968e-06,0.0062642369020502,1.0811338641464022e-05,0.0068337129840547,2.599673032107761e-06,0.0074031890660593,4.7454348998792464e-06,2,2,1,1,2
6,12,09:40:21,6,0.0051252847380409,804816.0,0.0054100227790434,0.0051252847380409,1.2296866088382744e-06,0.0045558086560364,2.1375089375108257e-06,0.0039863325740319,2.1292560072501664e-06,0.0034168564920273,5.777051182461691e-07,0.0028473804100228,1.9972091230796133e-06,0.0056947608200457,5.892592206110925e-06,0.0062642369020502,1.0811338641464022e-05,0.0068337129840547,2.61617889262908e-06,0.0074031890660593,4.7454348998792464e-06,0.0079726651480638,1.6022733983860107e-05,1,2,0,1,2
7,12,09:40:24,6,0.0051252847380409,490894.0,0.0054100227790434,0.0051252847380409,6.519814905921052e-07,0.0045558086560364,1.8981739599516989e-06,0.0039863325740319,2.1292560072501664e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,1.9972091230796133e-06,0.0056947608200457,4.852722993267821e-06,0.0062642369020502,1.0811338641464022e-05,0.0068337129840547,2.61617889262908e-06,0.0074031890660593,4.827964202485842e-06,0.0079726651480638,1.5940204681253513e-05,1,0,0,1,2
8,12,09:40:27,6,0.0051252847380409,86523.0,0.0054100227790434,0.0051252847380409,9.573399102365088e-07,0.0045558086560364,1.8981739599516989e-06,0.0039863325740319,2.1292560072501664e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.021967913861592e-06,0.0056947608200457,4.5968821551873744e-06,0.0062642369020502,1.0819591571724682e-05,0.0068337129840547,2.6326847531503995e-06,0.0074031890660593,4.827964202485842e-06,0.0079726651480638,1.5915445890471534e-05,1,0,1,1,2
9,12,09:40:30,6,0.0056947608200457,91824.0,0.0054100227790434,0.0051252847380409,2.43461442689457e-06,0.0045558086560364,1.8981739599516989e-06,0.0039863325740319,1.0728809338857429e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.021967913861592e-06,0.0056947608200457,6.833426255826115e-06,0.0062642369020502,1.0819591571724682e-05,0.0068337129840547,2.764731637320952e-06,0.0074031890660593,4.827964202485842e-06,0.0079726651480638,1.616303379829132e-05,1,0,1,1,2
10,12,09:40:33,6,0.0056947608200457,74157.0,0.0054100227790434,0.0051252847380409,6.206203556015988e-06,0.0045558086560364,1.906426890212358e-06,0.0039863325740319,1.0728809338857429e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.021967913861592e-06,0.0056947608200457,6.833426255826115e-06,0.0062642369020502,1.0778326920421384e-05,0.0068337129840547,2.814249218884909e-06,0.0074031890660593,5.1580814129122245e-06,0.0079726651480638,1.616303379829132e-05,1,0,1,1,2
11,12,09:40:36,6,0.0051252847380409,1039834.0,0.0054100227790434,0.0051252847380409,3.672553965993504e-06,0.0045558086560364,1.906426890212358e-06,0.0039863325740319,1.0728809338857429e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.021967913861592e-06,0.0056947608200457,5.116816761608927e-06,0.0062642369020502,1.0778326920421384e-05,0.0068337129840547,2.319073403245336e-06,0.0074031890660593,5.570727925945203e-06,0.0079726651480638,1.7731090547816637e-05,2,0,1,1,2
12,12,09:40:39,6,0.0056947608200457,821070.0,0.0054100227790434,0.0051252847380409,2.682202334714357e-06,0.0045558086560364,1.906426890212358e-06,0.0039863325740319,1.0728809338857429e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.021967913861592e-06,0.0056947608200457,2.2778087519420384e-06,0.0062642369020502,1.0778326920421384e-05,0.0068337129840547,2.319073403245336e-06,0.0074031890660593,5.570727925945203e-06,0.0079726651480638,1.802819603720038e-05,0,0,1,1,2
13,12,09:40:42,6,0.0051252847380409,596797.0,0.0054100227790434,0.0051252847380409,1.8404034481270816e-06,0.0045558086560364,1.906426890212358e-06,0.0039863325740319,1.0728809338857429e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.0632325651648896e-06,0.0056947608200457,4.951758156395736e-07,0.0062642369020502,1.0778326920421384e-05,0.0068337129840547,2.319073403245336e-06,0.0074031890660593,5.876086345589606e-06,0.0079726651480638,1.802819603720038e-05,0,0,1,1,2
14,12,09:40:45,6,0.0051252847380409,97083.0,0.0054100227790434,0.0051252847380409,1.1801690272743168e-06,0.0045558086560364,1.906426890212358e-06,0.0039863325740319,1.0728809338857429e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.0632325651648896e-06,0.0056947608200457,5.116816761608927e-07,0.0062642369020502,1.0778326920421384e-05,0.0068337129840547,2.319073403245336e-06,0.0074031890660593,5.884339275850265e-06,0.0079726651480638,1.7706331757034658e-05,0,0,0,1,2
15,12,09:40:48,6,0.0056947608200457,109491.0,0.0054100227790434,0.0051252847380409,1.8404034481270816e-06,0.0045558086560364,1.906426890212358e-06,0.0039863325740319,1.0728809338857429e-06,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.0632325651648896e-06,0.0056947608200457,1.485527446918721e-07,0.0062642369020502,1.0778326920421384e-05,0.0068337129840547,2.319073403245336e-06,0.0074031890660593,5.884339275850265e-06,0.0079726651480638,1.7772355199119932e-05,0,0,0,1,2
16,12,09:40:51,6,0.0062642369020502,483685.0,0.0059794988610477,0.0056947608200457,1.6010684705679544e-06,0.0051252847380409,1.898173959951699e-07,0.0045558086560364,1.906426890212358e-06,0.0039863325740319,3.136113499050633e-07,0.0034168564920273,1.7331153547385077e-06,0.0062642369020502,1.0770073990160724e-05,0.0068337129840547,2.4428673571552294e-06,0.0074031890660593,5.884339275850265e-06,0.0079726651480638,1.7747596408337957e-05,0.0085421412300683,4.456582340756162e-07,0,0,0,1,2
17,12,09:40:54,6,0.0051252847380409,455586.0,0.0048405466970387,0.0045558086560364,1.848656378387741e-06,0.0039863325740319,3.136113499050633e-07,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.0632325651648896e-06,0.0022779043280183,1.3699864232694867e-06,0.0051252847380409,2.921537312273484e-06,0.0062642369020502,1.0794832780942705e-05,0.0068337129840547,2.4428673571552294e-06,0.0074031890660593,6.131927183670053e-06,0.0079726651480638,1.768982589651334e-05,0,0,1,2,2
18,12,09:40:57,6,0.0051252847380409,104112.0,0.0048405466970387,0.0045558086560364,1.5102862377006992e-06,0.0039863325740319,3.136113499050633e-07,0.0034168564920273,1.7331153547385077e-06,0.0028473804100228,2.0632325651648896e-06,0.0022779043280183,1.3699864232694867e-06,0.0051252847380409,2.830755079406229e-06,0.0056947608200457,1.0728809338857429e-06,0.0062642369020502,1.0794832780942705e-05,0.0068337129840547,2.4428673571552294e-06,0.0074031890660593,6.131927183670053e-06,0,1,1,2,2
19,12,09:41:00,6,0.0051252847380409,1765.0,0.0048405466970387,0.0045558086560364,1.667091912653231e-06,0.0039863325740319,3.136113499050633e-07,0.0034168564920273,2.508890799240506e-06,0.0028473804100228,2.1457618677714854e-06,0.0022779043280183,2.8720197307095265e-06,0.0051252847380409,3.961406525116589e-06,0.0056947608200457,2.3108204729846763e-06,0.0062642369020502,1.0819591571724682e-05,0.0068337129840547,2.4263614966339104e-06,0.0074031890660593,6.18144476523401e-06,0,1,1,2,2
20,12,09:41:03,6,0.0051252847380409,127078.0,0.0048405466970387,0.0045558086560364,1.8238975876057624e-06,0.0039863325740319,3.136113499050633e-07,0.0034168564920273,2.508890799240506e-06,0.0028473804100228,2.1457618677714854e-06,0.0022779043280183,2.8720197307095265e-06,0.0051252847380409,3.697312756775482e-06,0.0056947608200457,2.467626147937208e-06,0.0062642369020502,1.1075432409805128e-05,0.0068337129840547,2.4263614966339104e-06,0.0074031890660593,6.222709416537308e-06,0,1,1,2,2
21,12,09:41:06,6,0.0051252847380409,899836.0,0.0045558086560364,0.0039863325740319,3.053584196444037e-07,0.0034168564920273,2.508890799240506e-06,0.0028473804100228,2.1457618677714854e-06,0.0022779043280183,2.8720197307095265e-06,0.0017084282460138,1.3947452140514654e-06,0.0051252847380409,2.005462053340273e-06,0.0056947608200457,3.325930895045802e-06,0.0062642369020502,1.1075432409805128e-05,0.0068337129840547,2.1622677282928043e-06,0.0074031890660593,6.222709416537308e-06,1,1,2,2,2
22,12,09:41:09,6,0.0045558086560364,95288.0,0.0042710706150341,0.0039863325740319,2.640937683411059e-07,0.0034168564920273,2.508890799240506e-06,0.0028473804100228,2.1457618677714854e-06,0.0022779043280183,2.8720197307095265e-06,0.0017084282460138,1.3947452140514654e-06,0.0045558086560364,2.558408380804464e-07,0.0051252847380409,1.741368284999167e-06,0.0056947608200457,3.664301035732844e-06,0.0062642369020502,1.1075432409805128e-05,0.0068337129840547,2.1622677282928043e-06,1,2,2,2,2
23,12,09:41:12,6,0.0045558086560364,52903.0,0.0042710706150341,0.0039863325740319,3.7138186172968016e-06,0.0034168564920273,2.508890799240506e-06,0.0028473804100228,2.1457618677714854e-06,0.0022779043280183,2.8720197307095265e-06,0.0017084282460138,1.3947452140514654e-06,0.0045558086560364,3.136113499050633e-07,0.0051252847380409,1.7496212152598264e-06,0.0056947608200457,3.944900664595269e-06,0.0062642369020502,1.105067361902315e-05,0.0068337129840547,2.1622677282928043e-06,2,1,1,2,2
24,12,09:41:15,6,0.0039863325740319,107553.0,0.0042710706150341,0.0039863325740319,3.3754484766097595e-06,0.0034168564920273,2.508890799240506e-06,0.0028473804100228,2.1457618677714854e-06,0.0022779043280183,2.8720197307095265e-06,0.0017084282460138,1.3947452140514654e-06,0.0045558086560364,2.3108204729846767e-07,0.0051252847380409,1.7661270757811456e-06,0.0056947608200457,4.052188757983844e-06,0.0062642369020502,1.105067361902315e-05,0.0068337129840547,2.1622677282928043e-06,2,1,1,2,2
25,12,09:41:18,6,0.0039863325740319,31745.0,0.0042710706150341,0.0039863325740319,3.317677964785143e-06,0.0034168564920273,2.508890799240506e-06,0.0028473804100228,2.1457618677714854e-06,0.0022779043280183,2.7977433583635904e-06,0.0017084282460138,1.3947452140514654e-06,0.0045558086560364,3.136113499050633e-07,0.0051252847380409,2.319073403245336e-06,0.0056947608200457,4.382305968410226e-06,0.0062642369020502,1.105067361902315e-05,0.0068337129840547,2.2200382401174214e-06,2,1,1,2,2
26,12,09:41:21,6,0.0045558086560364,37833.0,0.0042710706150341,0.0039863325740319,3.280952425125208e-06,0.0034168564920273,1.68359777317455e-06,0.0028473804100228,2.1457618677714854e-06,0.0022779043280183,2.7977433583635904e-06,0.0017084282460138,1.3947452140514654e-06,0.0045558086560364,1.7331153547385076e-07,0.0051252847380409,2.302567542724017e-06,0.0056947608200457,4.398811828931545e-06,0.0062642369020502,1.1058926549283808e-05,0.0068337129840547,2.2695558216813787e-06,2,2,2,2,2
27,12,09:41:24,6,0.0039863325740319,610633.0,0.0042710706150341,0.0039863325740319,3.4129993092957607e-06,0.0034168564920273,1.68359777317455e-06,0.0028473804100228,2.393349775591272e-06,0.0022779043280183,3.623036384429546e-06,0.0017084282460138,1.3947452140514654e-06,0.0045558086560364,4.951758156395736e-07,0.0056947608200457,4.539111643362757e-06,0.0062642369020502,1.1058926549283808e-05,0.0068337129840547,2.2695558216813787e-06,0.0074031890660593,6.37126216122918e-06,2,1,2,2,2
28,12,09:41:27,6,0.0045558086560364,148173.0,0.0051252847380409,0.0045558086560364,1.6505860521319117e-07,0.0039863325740319,3.388240518513782e-06,0.0034168564920273,1.68359777317455e-06,0.0028473804100228,2.393349775591272e-06,0.0022779043280183,3.623036384429546e-06,0.0056947608200457,4.951758156395736e-06,0.0062642369020502,1.1058926549283808e-05,0.0068337129840547,2.2695558216813787e-06,0.0074031890660593,6.453791463835775e-06,0.0079726651480638,1.8630659946228527e-05,0,0,1,2,2
29,12,09:41:30,6,0.0045558086560364,1764.0,0.0048405466970387,0.0045558086560364,4.86922885378914e-07,0.0039863325740319,3.42125223955642e-06,0.0034168564920273,1.68359777317455e-06,0.0028473804100228,2.393349775591272e-06,0.0022779043280183,3.623036384429546e-06,0.0051252847380409,2.682202334714357e-06,0.0056947608200457,4.951758156395736e-06,0.0062642369020502,1.1034167758501833e-05,0.0068337129840547,2.2860616822026977e-06,0.0074031890660593,6.453791463835775e-06,0,0,1,2,2
30,12,09:41:33,6,0.0045558086560364,213425.0,0.0048405466970387,0.0045558086560364,1.485527446918721e-07,0.0039863325740319,3.330470006689165e-06,0.0034168564920273,1.5598038192646566e-06,0.0028473804100228,2.393349775591272e-06,0.0022779043280183,3.623036384429546e-06,0.0051252847380409,2.756478707060293e-06,0.0056947608200457,4.86922885378914e-06,0.0062642369020502,1.1034167758501833e-05,0.0068337129840547,2.3685909848092934e-06,0.0074031890660593,6.453791463835775e-06,0,2,1,2,2
31,12,09:41:36,6,0.0051252847380409,225919.0,0.0048405466970387,0.0045558086560364,3.053584196444037e-07,0.0039863325740319,3.330470006689165e-06,0.0034168564920273,7.840283747626581e-07,0.0028473804100228,2.3520851242879744e-06,0.0022779043280183,5.042540389262991e-06,0.0051252847380409,2.5006378689798464e-06,0.0056947608200457,5.083805040566288e-06,0.0062642369020502,1.1034167758501833e-05,0.0068337129840547,2.3685909848092934e-06,0.0074031890660593,6.453791463835775e-06,1,2,1,2,2
32,12,09:41:39,6,0.0051252847380409,799575.0,0.0048405466970387,0.0045558086560364,1.402998144312125e-07,0.0039863325740319,3.181917261997293e-06,0.0034168564920273,7.840283747626581e-07,0.0028473804100228,2.3520851242879744e-06,0.0022779043280183,5.042540389262991e-06,0.0051252847380409,4.043935827723184e-07,0.0056947608200457,4.695917318315289e-06,0.0062642369020502,1.1034167758501833e-05,0.0068337129840547,2.3685909848092934e-06,0.0074031890660593,6.453791463835775e-06,0,2,1,2,2
