uuid,date,time,sym,n_close,amount_delta,n_midprice,n_bid1,n_bsize1,n_bid2,n_bsize2,n_bid3,n_bsize3,n_bid4,n_bsize4,n_bid5,n_bsize5,n_ask1,n_asize1,n_ask2,n_asize2,n_ask3,n_asize3,n_ask4,n_asize4,n_ask5,n_asize5,label_5,label_10,label_20,label_40,label_60
0,51,13:10:03,7,0.0102171136653894,90174.0,0.0098978288633462,0.0095785440613027,1.5937525183741715e-06,0.0089399744572158,5.29616221490494e-06,0.0083014048531289,3.67789042701732e-06,0.0076628352490419,7.625492818682576e-06,0.0070242656449552,9.513476571218132e-06,0.0102171136653894,3.702409696530768e-06,0.0108556832694763,1.1450498862780589e-05,0.011494252873563,6.031740300308404e-06,0.01213282247765,3.506255540423178e-05,0.0127713920817369,1.2529346721372336e-05,0,0,1,1,2
1,51,13:10:06,7,0.0102171136653894,58534.0,0.0098978288633462,0.0095785440613027,1.5937525183741715e-06,0.0089399744572158,5.29616221490494e-06,0.0083014048531289,3.67789042701732e-06,0.0076628352490419,7.625492818682576e-06,0.0070242656449552,9.513476571218132e-06,0.0102171136653894,2.9177930721004065e-06,0.0108556832694763,1.1450498862780589e-05,0.011494252873563,6.031740300308404e-06,0.01213282247765,3.538130590790661e-05,0.0127713920817369,1.2529346721372336e-05,0,0,1,1,2
2,51,13:10:09,7,0.0108556832694763,387716.0,0.0105363984674329,0.0102171136653894,2.45192695134488e-07,0.0095785440613027,1.5937525183741715e-06,0.0089399744572158,5.29616221490494e-06,0.0083014048531289,3.5307748099366267e-06,0.0076628352490419,7.625492818682576e-06,0.0108556832694763,8.361070904086039e-06,0.011494252873563,6.031740300308404e-06,0.01213282247765,3.498899759569143e-05,0.0127713920817369,1.2529346721372336e-05,0.0134099616858236,2.378369142804533e-05,1,0,0,1,2
3,51,13:10:12,7,0.0102171136653894,257835.0,0.0105363984674329,0.0102171136653894,1.5937525183741715e-06,0.0095785440613027,8.33655163457259e-07,0.0089399744572158,5.29616221490494e-06,0.0083014048531289,3.5307748099366267e-06,0.0076628352490419,7.625492818682576e-06,0.0108556832694763,9.341841684623991e-06,0.011494252873563,6.031740300308404e-06,0.01213282247765,3.4376015857855215e-05,0.0127713920817369,1.2774539416506825e-05,0.0134099616858236,2.378369142804533e-05,0,0,0,1,2
4,51,13:10:15,7,0.0089399744572158,617219.0,0.0092592592592593,0.0089399744572158,5.2471236758780425e-06,0.0083014048531289,3.5307748099366267e-06,0.0076628352490419,6.276932995442892e-06,0.0070242656449552,9.513476571218132e-06,0.0063856960408683,1.201444206158991e-05,0.0095785440613027,2.4519269513448794e-06,0.0108556832694763,2.550004029398675e-06,0.011494252873563,6.276932995442892e-06,0.01213282247765,3.444957366639556e-05,0.0127713920817369,1.2774539416506825e-05,1,2,1,1,2
5,51,13:10:18,7,0.0095785440613027,15810.0,0.0092592592592593,0.0089399744572158,5.49231637101253e-06,0.0083014048531289,3.5307748099366267e-06,0.0076628352490419,6.276932995442892e-06,0.0070242656449552,9.513476571218132e-06,0.0063856960408683,1.201444206158991e-05,0.0095785440613027,5.90914395274116e-06,0.0108556832694763,2.550004029398675e-06,0.011494252873563,7.012511080846356e-06,0.01213282247765,3.444957366639556e-05,0.0127713920817369,1.2946174303100964e-05,1,2,1,1,2
6,51,13:10:21,7,0.0095785440613027,79050.0,0.0092592592592593,0.0089399744572158,5.49231637101253e-06,0.0083014048531289,3.5307748099366267e-06,0.0076628352490419,6.276932995442892e-06,0.0070242656449552,9.513476571218132e-06,0.0063856960408683,1.201444206158991e-05,0.0095785440613027,5.90914395274116e-06,0.0102171136653894,3.0649086891811e-06,0.0108556832694763,2.402888412317982e-06,0.011494252873563,6.7918376552253165e-06,0.01213282247765,3.449861220542246e-05,1,0,1,2,2
7,51,13:10:24,7,0.0102171136653894,787554.0,0.0105363984674329,0.0102171136653894,3.187505036748344e-07,0.0089399744572158,5.90914395274116e-06,0.0083014048531289,3.5307748099366267e-06,0.0076628352490419,6.276932995442892e-06,0.0070242656449552,9.75866926635262e-06,0.0108556832694763,3.138466497721446e-06,0.011494252873563,7.5274157406287806e-06,0.01213282247765,3.726928966044217e-05,0.0127713920817369,1.2946174303100964e-05,0.0134099616858236,2.4788981478096733e-05,0,0,0,1,2
8,51,13:10:27,7,0.0102171136653894,150132.0,0.0098978288633462,0.0095785440613027,2.4519269513448794e-06,0.0089399744572158,4.094718008745949e-06,0.0083014048531289,3.5307748099366267e-06,0.0076628352490419,6.276932995442892e-06,0.0070242656449552,9.75866926635262e-06,0.0102171136653894,3.947602391665256e-06,0.0108556832694763,4.119237278259397e-06,0.011494252873563,7.772608435763268e-06,0.01213282247765,3.780871358973804e-05,0.0127713920817369,1.2946174303100964e-05,1,0,0,1,2
9,51,13:10:30,7,0.0095785440613027,173910.0,0.0092592592592593,0.0089399744572158,3.947602391665256e-06,0.0083014048531289,3.604332618476973e-06,0.0076628352490419,6.767318385711867e-06,0.0070242656449552,9.75866926635262e-06,0.0063856960408683,1.201444206158991e-05,0.0095785440613027,1.9615415610759042e-07,0.0102171136653894,4.168275817286295e-07,0.0108556832694763,4.119237278259397e-06,0.011494252873563,1.6207237148389653e-05,0.01213282247765,3.780871358973804e-05,2,1,1,2,2
